youtube_id,video_id,title,bias
UC-5fbO9oT3SKREKe2pBFK8A,CqY18K8ONwA,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,BcmDb_91FEw,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,7tBbjcpDaDs,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,ljSvLseJrcc,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,ysf8eVLJ0Jw,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,BK6lpEy98so,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,3Ua1_ezS688,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,ZsjnbaQKkmo,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,p_ypvA405-o,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,ZkC8DNfvLiM,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,4R_MfS2ET-g,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,4-0p1WptlT4,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,UirlcNs452A,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,rozP3PmcQQM,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,HgZSOj3Jt1s,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,i20GpCp8cgg,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,nkc3tPM1yq0,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,p3jeZSmGXXA,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,efKNNUAZeAw,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,hTQ1-EL9upw,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,eM_ZkenLboo,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,1dSoVGncMNU,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,z486-XO8fnM,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,qone-87woTA,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,LRsWsG4LeBs,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,JHgMhXhKrvA,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,7SLyNWrYJCM,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,Q08apIGSBEQ,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,6i6yR4TO9ks,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,ad3h_4i1BNQ,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,_xNn5U4B674,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,m85_96TlJ_s,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,HSKdxydVtaI,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,twfephK3Q5k,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,CZoxCMSbrSQ,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,4YMu_qQMaZ4,Uncle Sam's Misguided Children,extremeright
UC-5fbO9oT3SKREKe2pBFK8A,AExAQMgz8a0,Uncle Sam's Misguided Children,extremeright
UC-JSIhoXcKetaEeYOpvwcIQ,Asod1t6jGgM,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,GsEiczs7HGo,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,K1DI05zEfgk,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,xq4ervKeiLU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,13g5eT_0BsU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,wURz7SQenos,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,bAKouMGgI-g,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,aEDoHNzKTZ0,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,61rNVOCdAts,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,5UHjTgXx168,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,PIJqDP3KeHo,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,1w1ti4m7JL8,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,AoVdlhO2zJg,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,jPMZ41XuzzQ,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,iJrJA7dBoSU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,6MzD241f3pQ,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,h5SVJHekS7c,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,ZpoDfEVQMP8,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,9UG4Tk9LZKU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,UPVAVu9aAEg,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,SvQu4JJfTk4,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,k3Pao2lxBKU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,up9s6vgoR7M,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,E22IN688aEE,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,12SmPrble4I,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,wvUE1j4e4V0,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,gex6emJSuBM,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,6gfp_CY_bhQ,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,vvQcaqfiAFA,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,jfiJDvRY7JU,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,v9HE_65dQQ8,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,nQmVOeOGMoA,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,wKxQClYm6AQ,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,w4woPjVrUrQ,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,TIMOYfBIiYE,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,pay8tLF_YGI,Salon,left
UC-JSIhoXcKetaEeYOpvwcIQ,OGTS9gKdIPI,Salon,left
UC-OvPXGAoeZsnzqq6IOZWfw,Isd0FlGb_LY,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,bJz76kmxYes,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,y3DJyoquo-4,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,BS3H6Cakwpw,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,dftMbZ-6P3s,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,GHVdqMafiiw,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,qQGymwfb4m4,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,NZhB6MSvWa8,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,zdwb9POJHxw,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,kuvWOGB51NA,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,TM9Y44eXET0,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,Qdtd2p1bKAY,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,hdd9c_HTaq8,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,ifxrtRcjo48,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,GExH-LgPFAA,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,xKjNcZxVpfs,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,qwYYxoktOXw,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,stFsg-LQGlM,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,9iWsz9zSI64,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,tb-Ci0igumQ,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,bLN_z7Wrvso,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,Hghz96Z7r9o,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,XYmVure11FA,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,LWuzf30H1KA,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,8XNdBVPXybk,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,ICoiFBWGX4M,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,9fhYruDF33s,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,eLfWcpaV0qA,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,5w4VooEy7o8,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,ivE5gJdsJrw,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,jhItoECt3KQ,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,oZALIhqzMEM,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,4IQnObVjLO0,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,rQtCZmeQhPs,Oath Keepers,extremeright
UC-OvPXGAoeZsnzqq6IOZWfw,081LSwQx_jk,Oath Keepers,extremeright
